id	severity	file	lines	current_language	issue	recommended_action	remediation_class
COV-CFONT-001	info	PRINCIPLES.md	205-219,360	Principle 9: Trust, but Verify Everything; Zero trust architecture; cloudflare_access_application; Zero Trust | cloudflare.tf | cloudflare_access_*	Principle 9 is the Covenant-authoritative source language for Zero Trust as a security model. The Cloudflare Access example is illustrative implementation impact, not Cloudflare One product taxonomy drift.	Preserve. Do not rewrite Principle 9 or its identifier under this audit. Any future wording change would require Covenant-tier amendment, not ontology cleanup.	principle-9-authoritative
COV-CFONT-002	info	policies/sec-001-zero-trust.md	1,8-23,42-85,216-220,256-266	SEC-001: Zero Trust Authentication; Cloudflare Access configuration; service-level access control via Cloudflare Access; Zero Trust Bypass Procedures	SEC-001 implements Principle 9 and uses Zero Trust as security-model language. Cloudflare Access and provider resource names are implementation examples/literals.	Preserve. No ontology remediation. Future SEC-001 amendments must keep Principle 9 authority explicit and treat provider examples as downstream translation targets.	principle-9-authoritative
COV-CFONT-003	info	AGENTS.md; CLAUDE.md	109;109	Zero Trust - Trust but verify everything	Codex/Claude instruction surfaces summarize the 16 principles. This is Covenant philosophy, not Cloudflare One product prose.	Preserve. Do not classify as Cloudflare drift.	principle-9-authoritative
COV-CFONT-004	info	policies/README.md	33,86-90,110	SEC-001: Zero Trust Authentication; Cloudflare Ownership Transition; Identity and Account Management; 9: Trust, but Verify Everything | SEC-001, SEC-005 | Zero trust authentication, machine identity	The policies index maps Principle 9 to active policies and transitional specs. The terms identify Covenant authority and policy status, not a Cloudflare dashboard or product bucket.	Preserve. Keep policy-status semantics unchanged; provider-specific bindings remain candidates for parent-standard, Shield, Citadel, Nexus, or subsidiary restatement homes as already stated.	principle-9-authoritative
COV-CFONT-005	info	policies/org-001-subsidiary-authority.md; policies/specs/subsidiary-authority.md; docs/architecture/007-subsidiary-authority-and-identity-isolation.md	154;26,348;167	Principle 9: Zero Trust - Session context boundaries are verified by what an agent can read, not by what the agent is trusted to ignore	Subsidiary authority artifacts extend Principle 9 into session-boundary doctrine. This is Covenant-tier security-model framing and is upstream of the parent Cloudflare ontology standard.	Preserve. Do not recast as Cloudflare One terminology.	principle-9-authoritative
COV-CFONT-006	info	docs/architecture/008-policy-authority-topology.md; policies/specs/identity-and-account-management.md	127;410	Principle 9: Zero Trust; Authority topology extends Zero Trust from request-time verification to authoring-time domain separation; Cross-entity credential reach is explicitly prevented	ADR-008 and the IAM specification use Zero Trust as authority-topology doctrine. The Cloudflare token details in the IAM spec are downstream implementation contracts, not product naming drift.	Preserve. Any provider-specific translation belongs in transitional specs, parent standards, Shield contracts, or Citadel implementation, not a rewrite of Principle 9 language.	principle-9-authoritative
COV-CFONT-007	info	docs/architecture/002-governed-agentic-development.md; docs/architecture/004-federated-multi-org-architecture.md; docs/architecture/005-adopt-opentofu-as-iac-engine.md	106-108;165;24,170	SEC-001 targets Zero Trust; Principle #9: Zero Trust; violates the spirit of Principle #9; eliminates single-vendor trust	ADRs apply Principle 9 to agentic development, identity controls, and toolchain dependency trust. These are security-model uses and are not Cloudflare One product references.	Preserve. Ratified ADR language is not ontology-remediation scope; any future ADR edit requires Guardian approval.	principle-9-authoritative
COV-CFONT-008	info	docs/architecture/003-establish-cloudflare-governance-baseline.md	14,20,31,39,85,118,122,219,374,476	Cloudflare Governance Baseline; Zero Trust networking layer; zero_trust_app; Zero Trust Team (homezerotrust); Covenant Principle #9: Zero Trust	ADR-003 is an accepted historical Cloudflare governance baseline with a current-state note that older examples are pre-ADR-005. Principle 9 language remains authoritative; `homezerotrust` and historical module names are stable identifiers or historical evidence.	Preserve unless ADR-003 is separately amended through Guardian-approved ADR maintenance. Do not rename stable identifiers or legacy examples mechanically.	historical-evidence
COV-CFONT-009	info	policies/specs/cloudflare-ownership-transition.md	62,150	Zero Trust resources; future-controls menu (WAF, OWASP, custom rules, rate limiting, geographic, Access, Workers, tunnels, Zero Trust)	Accepted transitional spec uses Zero Trust as shorthand in Cloudflare resource/future-control lists. This is the only active-spec surface that can read product-bucket-like; it does not contradict Principle 9 and was not classified as drift under authority-inversion protection.	No remediation under this audit. If the spec is amended later, parent plus Covenant-tier reviewers should decide whether to clarify these as Cloudflare One Access controls, identity resources, or security-model controls.	ambiguous-prose
COV-CFONT-010	info	policies/sec-001-zero-trust.md	220	API-level access control via gateway policies	The retired-term scan matched `gateway policies`, but the sentence uses lower-case generic API gateway policy language, not Cloudflare Gateway product taxonomy.	Preserve. If SEC-001 is amended for other reasons, reviewers may clarify as `API gateway policies`; no Cloudflare ontology remediation is required now.	acceptable
COV-CFONT-011	info	policies/sec-005-machine-identity.md; policies/specs/secrets-management.md; policies/specs/identity-and-account-management.md	29,61,221-226;52,78-79,353,393,417,441;43,79,147-148,186,200-202,210,356,398-401	Cloudflare API tokens; OIDC Workload Identity (AWS, GCP, Cloudflare); Cloudflare Workers; wrangler whoami; CLOUDFLARE_API_TOKEN	Provider names, token paths, command names, environment variable names, and Cloudflare Workers references are literal implementation-contract language.	Preserve provider/API/CLI literals. Do not rename `wrangler`, `CLOUDFLARE_API_TOKEN`, token paths, or Cloudflare Workers references for prose ontology alignment.	provider-literal
COV-CFONT-012	info	history/reports/2025-11/FEDERATED-IDENTITY-STRATEGY.md; history/reports/2025-11/FEDERATED-IDENTITY-QUICK-REF.md	452,870,1087;28	Cloudflare Zero Trust Dashboard; Enable Cloudflare Zero Trust; Cloudflare Zero Trust Documentation; Cloudflare Zero Trust enabled	Historical reports retain older provider/UI wording and documentation links from November 2025. These are not current Covenant policy surfaces.	Preserve archive language unless a future archival note is added. Do not rewrite historical evidence mechanically.	archive
